@W: CG921 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\Gate_Set.v":10:8:10:18|sample_gate is already declared in this scope.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[19] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[20] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[21] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[22] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[23] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[24] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[25] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[26] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[27] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[28] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[29] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[30] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[31] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Pruning register bits 31 to 3 of rising_error[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CG879 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\Gate_Set.v":13:8:13:13|Treating non-constant declarative assignment to variable signal as a regular assign based on type - value could be overwritten in later writes. To ignore the dynamic initial value, please use the macro SYN_COMPATIBLE
@W: CL318 :"C:\Libero\Projects\board_deploy\board_deploy\component\work\OSC_C0\OSC_C0_0\OSC_C0_OSC_C0_0_OSC.v":15:7:15:24|*Output RCOSC_25_50MHZ_CCC has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Libero\Projects\board_deploy\board_deploy\component\work\OSC_C0\OSC_C0_0\OSC_C0_OSC_C0_0_OSC.v":16:7:16:24|*Output RCOSC_25_50MHZ_O2F has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Libero\Projects\board_deploy\board_deploy\component\work\OSC_C0\OSC_C0_0\OSC_C0_OSC_C0_0_OSC.v":17:7:17:20|*Output RCOSC_1MHZ_CCC has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Libero\Projects\board_deploy\board_deploy\component\work\OSC_C0\OSC_C0_0\OSC_C0_OSC_C0_0_OSC.v":18:7:18:20|*Output RCOSC_1MHZ_O2F has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Libero\Projects\board_deploy\board_deploy\component\work\OSC_C0\OSC_C0_0\OSC_C0_OSC_C0_0_OSC.v":19:7:19:16|*Output XTLOSC_CCC has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CG133 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\SPI_slave.v":19:13:19:19|Object counter is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[4]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[5]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[6]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[7]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[8]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[9]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[10]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[11]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[12]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[13]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[14]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[15]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[16]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[17]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[18]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[19]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[20]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[21]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[22]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[23]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[24]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[25]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[26]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[27]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[28]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[29]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[30]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Pruning unused register rising_error[31]. Make sure that there are no unused intermediate registers.
@W: CL246 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\Add_Counter.v":24:17:24:27|Input port bits 31 to 29 of recip_count[31:0] are unused. Assign logic for all port bits or change the input port size.

